Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.07,1.06,1.05,1.03,1.02,1.02,1.02,1.03,1.05,1.08,1..09,1.09
10,1.14,1.12,1.09,1.06,1.03,1.02,1.03,1.06,1.1,1.15,1.18,1.17
15,1.21,1.17,1.12,1.07,1.04,1.03,1.04,1.08,1.14,1.21,1.26,1.24
20,1.26,1.21,1.15,1.08,1.04,1.02,1.04,1.09,1.17,1.27,1.33,1.31
25,1.31,1.24,1.17,1.09,1.03,1.01,1.03,1.1,1.2,1.32,1.39,1.37
30,1.35,1.27,1.18,1.08,1.01,.99,1.02,1.09,1.21,1.35,1.44,1.42
35,1.38,1.29,1.18,1.07,.99,.96,.99,1.08,1.22,1.38,1.49,1.47
40,1.4,1.3,1.18,1.05,.96,.93,.96,1.06,1.22,1.4,1.52,1.5
45,1.42,1.3,1.16,1.03,.93,.89,.93,1.04,1.21,1.41,1.55,1.52
50,1.42,1.3,1.14,.99,.88,.84,.88,1.01,1.19,1.41,1.56,1.54
55,1.42,1.28,1.12,.95,.83,.79,.84,.97,1.17,1.41,1.57,1.54
60,1.41,1.26,1.08,.91,.78,.73,.78,.92,1.14,1.39,1.56,1.54
65,1.39,1.23,1.04,.85,.72,.67,.72,.87,1.09,1.36,1.54,1.53
70,1.36,1.19,.99,.8,.66,.61,.66,.81,1.04,1.32,1.52,1.5
75,1.32,1.15,.94,.73,.59,.54,.59,.74,.99,1.28,1.48,1.47
80,1.28,1.1,.88,.67,.52,.46,.52,.67,.93,1.23,1.44,1.43
85,1.23,1.04,.82,.6,.44,.39,.44,.6,.86,1.16,1.38,1.38
90,1.17,.98,.74,.52,.36,.31,.36,.52,.78,1.09,1.32,1.32
